('1-0', 'vattene')
('1-1', 'vattene')
('1-2', 'vattene')
('1-3', 'vattene')
('1-4', 'vattene')
('1-5', 'vattene')
('1-6', 'vattene')
('1-7', 'vattene')
('1-8', 'vattene')
('1-9', 'vattene')
('10-0', 'vattene')
('10-1', 'vattene')
('10-2', 'vattene')
('10-3', 'vattene')
('10-4', 'vattene')
('10-5', 'vattene')
('10-6', 'vattene')
('10-7', 'vattene')
('10-8', 'vattene')
('10-9', 'vattene')
('10', 'daccordo')
('11-0', 'vattene')
('11-1', 'vattene')
('11-2', 'vattene')
('11-3', 'vattene')
('11-4', 'vattene')
('11-5', 'vattene')
('11-6', 'vattene')
('11-7', 'vattene')
('11-8', 'vattene')
('11-9', 'vattene')
('11', 'vattene')
('12-0', 'vattene')
('12-1', 'vattene')
('12-2', 'vattene')
('12-3', 'vattene')
('12-4', 'combinato')
('12-5', 'vattene')
('12-6', 'vattene')
('12-7', 'vattene')
('12-8', 'vattene')
('12-9', 'vattene')
('12', 'combinato')
('13-0', 'daccordo')
('13-1', 'vattene')
('13-2', 'vattene')
('13-3', 'vattene')
('13-4', 'daccordo')
('13-5', 'vattene')
('13-6', 'vattene')
('13-7', 'vattene')
('13-8', 'daccordo')
('13-9', 'vattene')
('13', 'combinato')
('14-0', 'vattene')
('14-1', 'combinato')
('14-2', 'combinato')
('14-3', 'combinato')
('14-4', 'combinato')
('14-5', 'combinato')
('14-6', 'combinato')
('14-7', 'combinato')
('14-8', 'combinato')
('14-9', 'vattene')
('14', 'combinato')
('15-0', 'vattene')
('15-1', 'vattene')
('15-2', 'vattene')
('15-3', 'combinato')
('15-4', 'vattene')
('15-5', 'combinato')
('15-6', 'vattene')
('15-7', 'vattene')
('15-8', 'combinato')
('15-9', 'combinato')
('15', 'vattene')
('16-0', 'vattene')
('16-1', 'vattene')
('16-2', 'vattene')
('16-3', 'vattene')
('16-4', 'vattene')
('16-5', 'vattene')
('16-6', 'vattene')
('16-7', 'vattene')
('16-8', 'vattene')
('16-9', 'vattene')
('16', 'vattene')
('17-0', 'vattene')
('17-1', 'vattene')
('17-2', 'vattene')
('17-3', 'vattene')
('17-4', 'vattene')
